REF ID,Website Name,Website URL,State,External Resouce type,Level,Category of External Resource,Authors,Attribution,,MeSH tags,Notes,,,,,,,,,,
CD002109,Cochrane Systematic Review: Fluid therapy for acute bacterial meningitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002109,Pending,Systematic_review,level 4,individual page on a site," Bjerre LM, Verheij TJ, Kochen MM. Antibiotics for community acquired pneumonia
in adult outpatients. Cochrane Database Syst Rev. 2009 Oct 7;(4):CD002109. doi:
10.1002/14651858.CD002109.pub3. Review. PubMed PMID: 19821292.


3: Bjerre LM, Verheij TJ, Kochen MM. Antibiotics for communi",Cochrane,,"Respiratory Tract Infections,Community-Acquired Infections,Pneumonia,",ARI,community acquired pneumonia,community-acquired infection,pneumonia,,,,,,,
CD001094,Cochrane Systematic Review: Antibiotics for persistent nasal discharge (rhinosinusitis) in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001094,Pending,Systematic_review,level 4,individual page on a site," Morris PS, Leach AJ",Cochrane,,"Respiratory Tract Infections,",ARI,nasal discharge,rhinosinusitis,,,,,,,,
CD001477,Cochrane Systematic Review: Antibiotics for preventing complications in children with measles,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001477,Pending,Systematic_review,level 4,individual page on a site," Kabra SK, Lodha R",Cochrane,,"Respiratory Tract Infections,Measles,Conjunctivitis, Bacterial,Croup,Diarrhea,Otitis Media,Pneumonia,Tonsillitis,",ARI,measles,bacterial conjunctivitis,croup,diarrhea,otitis media,pneumonia,tonsillitis,,,
CD000247,Cochrane Systematic Review: Antibiotics for the common cold and acute purulent rhinitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000247,Pending,Systematic_review,level 4,individual page on a site," Kenealy T, Arroll B",Cochrane,,"Respiratory Tract Infections,Rhinitis,Acute Disease,Common Cold,",ARI,rhinitis,acute disease,common cold,,,,,,,
CD004401,Cochrane Systematic Review: Antibiotics for the prevention of acute and chronic suppurative otitis media in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004401,Pending,Systematic_review,level 4,individual page on a site," Leach AJ, Morris PS",Cochrane,,"Respiratory Tract Infections,Otitis Media, Suppurative,Acute Disease,Chronic Disease,Tympanic Membrane Perforation,",ARI,suppurative otitis media,acute disease,chronic disease,tympanic membrane perforation,,,,,,
CD004404,Cochrane Systematic Review: Antibiotics for whooping cough (pertussis),http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004404,Pending,Systematic_review,level 4,individual page on a site," Altunaiji S, Kukuruzovic R, Curtis N, Massie J",Cochrane,,"Respiratory Tract Infections,Whooping Cough,Bordetella pertussis,",ARI,whooping cough,pertussis,bordetella pertussis,,,,,,,
CD001267,Cochrane Systematic Review: Antihistamines for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001267,Pending,Systematic_review,level 4,individual page on a site," De Sutter AI, Lemiengre M, Campbell H",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD001954,Cochrane Systematic Review: Azithromycin for acute lower respiratory tract infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001954,Pending,Systematic_review,level 4,individual page on a site," Panpanich R, Lerttrakarnnon P, Laopaiboon M",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bronchitis,Pneumonia,",ARI,acute lower respiratory tract infection,acute disease,bronchitis,pneumonia,,,,,,
CD001726,Cochrane Systematic Review: Beta2-agonists for acute bronchitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001726,Pending,Systematic_review,level 4,individual page on a site," Becker LA, Hom J, Villasis-Keever M, van der Wouden JC",Cochrane,,"Respiratory Tract Infections,Cough,Acute Disease,",ARI,acute bronchitis,cough,acute disease,,,,,,,
CD001266,Cochrane Systematic Review: Bronchodilators for bronchiolitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001266,Pending,Systematic_review,level 4,individual page on a site," Gadomski AM, Scribani MB",Cochrane,,"Respiratory Tract Infections,Bronchiolitis,Acute Disease,",ARI,bronchiolitis,acute disease,,,,,,,,bronchiolitis
CD004873,Cochrane Systematic Review: Chest physiotherapy for acute bronchiolitis in paediatric patients between 0 and 24 months old,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004873,Pending,Systematic_review,level 4,individual page on a site," Roqu_ i Figuls M, Gin_-Garriga M, Granados Rugeles C, Perrotta C",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bronchiolitis,",ARI,acute bronchiolitis,acute disease,bronchiolitis,,,,,,,bronchiolitis
CD001268,Cochrane Systematic Review: Chest radiograph for acute lower respiratory infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001268,Pending,Systematic_review,level 4,individual page on a site," Swingler GH, Zwarenstein M",Cochrane,,"Respiratory Tract Infections,",ARI,acute lower respiratory tract infection,,,,,,,,,
CD004560,Cochrane Systematic Review: Chinese medicinal herbs for acute bronchitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004560,Pending,Systematic_review,level 4,individual page on a site," Jiang L, Li K, Wu T",Cochrane,,"Respiratory Tract Infections,Acute Disease,",ARI,acute bronchitis,acute disease,,,,,,,,
CD004559,Cochrane Systematic Review: Chinese medicinal herbs for influenza,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004559,Pending,Systematic_review,level 4,individual page on a site," Jiang L, Deng L, Wu T",Cochrane,,"Respiratory Tract Infections,Influenza, Human,",ARI,influenza,,,,,,,,,
CD005531,Cochrane Systematic Review: Chinese medicinal herbs for measles,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005531,Pending,Systematic_review,level 4,individual page on a site," Chen S, Wu T, Kong X, Yuan H",Cochrane,,"Respiratory Tract Infections,Measles,",ARI,measles,,,,,,,,,
CD008578,Cochrane Systematic Review: Chinese medicinal herbs for mumps,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008578,Pending,Systematic_review,level 4,individual page on a site," Shu M, Zhang YQ, Li Z, Liu GJ, Wan C",Cochrane,,"Respiratory Tract Infections,Mumps,",ARI,mumps,,,,,,,,,
CD004877,Cochrane Systematic Review: Chinese medicinal herbs for sore throat,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004877,Pending,Systematic_review,level 4,individual page on a site," Huang Y, Wu T, Zeng L, Li S",Cochrane,,"Respiratory Tract Infections,Acute Disease,Pharyngitis,Tonsillitis,",ARI,sore throat,acute disease,pharyngitis,tonsillitis,,,,,,
CD004782,Cochrane Systematic Review: Chinese medicinal herbs for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004782,Pending,Systematic_review,level 4,individual page on a site," Wu T, Zhang J, Qiu Y, Xie L, Liu GJ",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD009175,Cochrane Systematic Review: Clinical symptoms and signs for the diagnosis of Mycoplasma pneumoniae in children and adolescents with community-acquired pneumonia,http://www.ncbi.nlm.nih.gov/pubmed/?term=Chochrane+Systematic+Review%3A+Clinical+symptoms+and+signs+for+the+diagnosis+of+Mycoplasma+pneumoniae+in+children+and+adolescents+with+community-acquired+pneumonia,Pending,Systematic_review,level 4,individual page on a site,"Wang K, Gill P, Perera R, Thomson A, Mant D, Harnden A.",Cochrane,,"Respiratory Tract Infections,Mycoplasma pneumoniae,Community-Acquired Infections,",ARI,community-acquired pneumonia,Mycoplasma pneumoniae,community-acquired infection,,,,,,,
CD003699,Cochrane Systematic Review: Continuous negative extrathoracic pressure or continuous positive airway pressure compared to conventional ventilation for acute hypoxaemic respiratory failure in children,http://www.ncbi.nlm.nih.gov/pubmed/24186774,Pending,Systematic_review,level 4,individual page on a site,"Shah PS, Ohlsson A, Shah JP.",Cochrane,,"Respiratory Tract Infections,",ARI,acute hypoxaemic respiratory failure,repiratory insufficiency,,,,,,,,
CD008268,Cochrane Systematic Review: Corticosteroids as standalone or add-on treatment for sore throat,http://www.ncbi.nlm.nih.gov/pubmed/23076943,Pending,Systematic_review,level 4,individual page on a site,"Hayward G, Thompson MJ, Perera R, Glasziou PP, Del Mar CB, Heneghan CJ.",Cochrane,,"Respiratory Tract Infections,Pharyngitis,Tonsillitis,",ARI,sore throat,pharyngitis,tonsillitis,,,,,,,
CD004405,Cochrane Systematic Review: Corticosteroids for acute bacterial meningitis,http://www.ncbi.nlm.nih.gov/pubmed/23733364,Pending,Systematic_review,level 4,individual page on a site,"Brouwer MC, McIntyre P, Prasad K, van de Beek D.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Hearing Loss,",ARI,acute bacterial meningitis,acute disease,hearing loss,,,,,,,
CD007720,Cochrane Systematic Review: Corticosteroids for pneumonia,http://www.ncbi.nlm.nih.gov/pubmed/21412908,Pending,Systematic_review,level 4,individual page on a site,"Chen Y, Li K, Pu H, Wu T.",Cochrane,,"Respiratory Tract Infections,Pneumonia,",ARI,pneumonia,,,,,,,,,
CD008116,Cochrane Systematic Review: Corticosteroids for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008116,Pending,Systematic_review,level 4,individual page on a site,"Hayward G, Thompson MJ, Perera R, Del Mar CB, Glasziou PP, Heneghan CJ.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD001727,Cochrane Systematic Review: Decongestants and antihistamines for acute otitis media in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001727,Pending,Systematic_review,level 4,individual page on a site,"Coleman C, Moore M.",Cochrane,,"Respiratory Tract Infections,",ARI,acute otitis media,,,,,,,,,
CD007909,"Cochrane Systematic Review: Decongestants, antihistamines and nasal irrigation for acute sinusitis in children",http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007909,Pending,Systematic_review,level 4,individual page on a site,"Shaikh N, Wald ER, Pi M.",Cochrane,,"Respiratory Tract Infections,Sinusitis,",ARI,acute sinusitis,sinusitis,,,,,,,,
CD004417,Cochrane Systematic Review: Delayed antibiotics for respiratory infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004417,Pending,Systematic_review,level 4,individual page on a site,"Spurling GK, Del Mar CB, Dooley L, Foxlee R, Farley R.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Common Cold,Cough,Fever,Otitis Media,Pain,Pharyngitis,",ARI,respiratory infection,acute disease,common cold,cough,fever,otitis media,pain,pharyngitis,respiratory tract infection,
CD004406,Cochrane Systematic Review: Different antibiotic treatments for group A streptococcal pharyngitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004406,Pending,Systematic_review,level 4,individual page on a site,"van Driel ML, De Sutter AI, Keber N, Habraken H, Christiaens T.",Cochrane,,"Respiratory Tract Infections,Pharyngitis,Streptococcal Infections,",ARI,group A streptococcal pharyngitis,pharyngitis,streptococcal infection,,,,,,,
CD000530,Cochrane Systematic Review: Echinacea for preventing and treating the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD000530,Pending,Systematic_review,level 4,individual page on a site,"Karsch-V_lk M, Barrett B, Kiefer D, Bauer R, Ardjomand-Woelkart K, Linde K.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD003123,Cochrane Systematic Review: Epinephrine for bronchiolitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD003123,Pending,Systematic_review,level 4,individual page on a site,"Hartling L, Bialy LM, Vandermeer B, Tjosvold L, Johnson DW, Plint AC, Klassen TP, Patel H, Fernandes RM.",Cochrane,,"Respiratory Tract Infections,Bronchiolitis,Acute Disease,",ARI,bronchiolitis,acute disease,,,,,,,,
CD004786,Cochrane Systematic Review: Fluid therapy for acute bacterial meningitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004786,Pending,Systematic_review,level 4,individual page on a site,"Maconochie IK, Bhaumik S.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Hyponatremia,Meningitis, Bacterial,",ARI,acute bacterial meningitis,acute disease,hyponatremia,bacterial meningitis,,,,,,
CD006206,Cochrane Systematic Review: Garlic for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006206,Pending,Systematic_review,level 4,individual page on a site,"Lissiman E, Bhasale AL, Cohen M.",Cochrane,,"Respiratory Tract Infections,Common Cold,Exanthema,",ARI,common cold,exanthema,,,,,,,,
CD004878,Cochrane Systematic Review: Glucocorticoids for acute viral bronchiolitis in infants and young children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004878,Pending,Systematic_review,level 4,individual page on a site,"Fernandes RM, Bialy LM, Vandermeer B, Tjosvold L, Plint AC, Patel H, Johnson DW, Klassen TP, Hartling L.",Cochrane,,"Respiratory Tract Infections,Acute Disease,",ARI,acute viral bronchiolitis,acute disease,,,,,,,,
CD001955,Cochrane Systematic Review: Glucocorticoids for croup,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001955,Pending,Systematic_review,level 4,individual page on a site,"Russell KF, Liang Y, O'Gorman K, Johnson DW, Klassen TP.",Cochrane,,"Respiratory Tract Infections,Croup,",ARI,croup,,,,,,,,,
CD001728,"Cochrane Systematic Review: Heated, humidified air for the common cold",http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001728,Pending,Systematic_review,level 4,individual page on a site,"Singh M, Singh M.",Cochrane,,"Respiratory Tract Infections,Common Cold,Picornaviridae Infections,Rhinovirus,",ARI,common cold,picornaviridae infections,rhinovirus,,,,,,,
CD006822,Cochrane Systematic Review: Heliox for croup in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006822,Pending,Systematic_review,level 4,individual page on a site,"Moraa I, Sturman N, McGuire T, van Driel ML.",Cochrane,,"Respiratory Tract Infections,Croup,Airway Obstruction,",ARI,croup,airway obstruction,,,,,,,,
CD006915,Cochrane Systematic Review: Heliox inhalation therapy for bronchiolitis in infants,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006915,Pending,Systematic_review,level 4,individual page on a site,"Liet JM, Ducruet T, Gupta V, Cambonie G.",Cochrane,,"Respiratory Tract Infections,Bronchiolitis,Acute Disease,Bronchiolitis, Viral,Respiratory Syncytial Virus Infections,",ARI,bronchiolitis,acute disease,viral bronchiolitis,respiratory syncytial virus infections,,,,,,
CD001957,Cochrane Systematic Review: Homeopathic Oscillococcinum_ for preventing and treating influenza and influenza-like illness,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001957,Pending,Systematic_review,level 4,individual page on a site,"Mathie RT, Frye J, Fisher P.",Cochrane,,"Respiratory Tract Infections,Influenza, Human,",ARI,influenza,influenza-like illness,,,,,,,,
CD007094,Cochrane Systematic Review: Honey for acute cough in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD007094,Pending,Systematic_review,level 4,individual page on a site,"Oduwole O, Meremikwu MM, Oyo-Ita A, Udoh EE.",Cochrane,,"Respiratory Tract Infections,Cough,",ARI,acute cough,cough,,,,,,,,
CD002870,Cochrane Systematic Review: Humidified air inhalation for treating croup,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002870,Pending,Systematic_review,level 4,individual page on a site,"Moore M, Little P.",Cochrane,,"Respiratory Tract Infections,Croup,",ARI,croup,,,,,,,,,
CD004881,Cochrane Systematic Review: Inhaled corticosteroids during acute bronchiolitis in the prevention of post-bronchiolitic wheezing,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004881,Pending,Systematic_review,level 4,individual page on a site,"Blom DJ, Ermers M, Bont L, van Woensel JB, Van Aalderen WM.",Cochrane,,"Respiratory Tract Infections,",ARI,acute bronchiolitis,post-bronchiolitic wheezing,,,,,,,,
CD008231,Cochrane Systematic Review: Intranasal ipratropium bromide for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008231,Pending,Systematic_review,level 4,individual page on a site,"AlBalawi ZH, Othman SS, Alfaleh K.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,nasal obstruction,,,,,,,,
CD005149,Cochrane Systematic Review: Intranasal steroids for acute sinusitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005149,Pending,Systematic_review,level 4,individual page on a site,"Zalmanovici Trestioreanu A, Yaphe J.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Sinusitis,",ARI,acute sinusitis,acute disease,sinusitis,,,,,,,
CD006602,Cochrane Systematic Review: Monoclonal antibody for reducing the risk of respiratory syncytial virus infection in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006602,Pending,Systematic_review,level 4,individual page on a site,"Andabaka T, Nickerson JW, Rojas-Reyes MX, Rueda JD, Bacic Vrca V, Barsic B.",Cochrane,,"Respiratory Tract Infections,",ARI,respiratory syncytial virus infection,,,,,,,,,
CD001953,Cochrane Systematic Review: Nasal decongestants for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001953,Pending,Systematic_review,level 4,individual page on a site,"Taverner D, Latte GJ.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD008395,Cochrane Systematic Review: Nebulised deoxyribonuclease for viral bronchiolitis in children younger than 24 months,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008395,Pending,Systematic_review,level 4,individual page on a site,"Enriquez A, Chu IW, Mellis C, Lin WY.",Cochrane,,"Respiratory Tract Infections,Bronchiolitis, Viral,Pulmonary Atelectasis,",ARI,viral bronchiolitis,pulmonary atelectasis,,,,,,,,
CD006458,Cochrane Systematic Review: Nebulised hypertonic saline solution for acute bronchiolitis in infants,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006458,Pending,Systematic_review,level 4,individual page on a site,"Zhang L, Mendoza-Sassi RA, Wainwright C, Klassen TP.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bronchiolitis, Viral,",ARI,acute bronchiolitis,acute disease,viral bronchiolitis,,,,,,,
CD006619,Cochrane Systematic Review: Nebulized epinephrine for croup in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006619,Pending,Systematic_review,level 4,individual page on a site,"Bjornson C, Russell K, Vandermeer B, Klassen TP, Johnson DW.",Cochrane,,"Respiratory Tract Infections,Croup,",ARI,croup,,,,,,,,,
CD002744,Cochrane Systematic Review: Neuraminidase inhibitors for preventing and treating influenza in children (published trials only),http://www.ncbi.nlm.nih.gov/pubmed/?term=CD002744,Pending,Systematic_review,level 4,individual page on a site,"Wang K, Shun-Shin M, Gill P, Perera R, Harnden A.",Cochrane,,"Respiratory Tract Infections,Influenza, Human,",ARI,influenza,,,,,,,,,
CD008965,Cochrane Systematic Review: Neuraminidase inhibitors for preventing and treating influenza in healthy adults and children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008965,Pending,Systematic_review,level 4,individual page on a site,"Jefferson T, Jones MA, Doshi P, Del Mar CB, Hama R, Thompson MJ, Spencer EA, Onakpoya I, Mahtani KR, Nunan D, Howick J, Heneghan CJ.",Cochrane,,"Respiratory Tract Infections,Influenza, Human,",ARI,influenza,,,,,,,,,
CD006362,Cochrane Systematic Review: Non-steroidal anti-inflammatory drugs for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006362,Pending,Systematic_review,level 4,individual page on a site,"Kim SY, Chang YJ, Cho HM, Hwang YW, Moon YS.",Cochrane,,"Respiratory Tract Infections,Common Cold,Headache Disorders,Cough,Chills,",ARI,common cold,headache disorder,cough,chills,,,,,,
CD004975,Cochrane Systematic Review: Once or twice daily versus three times daily amoxicillin with or without clavulanate for the treatment of acute otitis media,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004975,Pending,Systematic_review,level 4,individual page on a site,"Thanaviratananich S, Laopaiboon M, Vatanasapt P.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Otitis Media,",ARI,acute otitis media,acute disease,otitis media,,,,,,,
CD004979,Cochrane Systematic Review: Oral antibiotics versus parenteral antibiotics for severe pneumonia in children,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004979,Pending,Systematic_review,level 4,individual page on a site,"Rojas MX, Granados C.",Cochrane,,"Respiratory Tract Infections,Pneumonia,",ARI,severe pneumonia,pneumonia,,,,,,,,
CD004976,Cochrane Systematic Review: Oral antihistamine-decongestant-analgesic combinations for the common cold,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD004976,Pending,Systematic_review,level 4,individual page on a site,"De Sutter AI, van Driel ML, Kumar AA, Lesslar O, Skrt A.",Cochrane,,"Respiratory Tract Infections,Common Cold,",ARI,common cold,,,,,,,,,
CD008806,Cochrane Systematic Review: Osmotic therapies added to antibiotics for acute bacterial meningitis,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD008806,Pending,Systematic_review,level 4,individual page on a site,"Wall EC, Ajdukiewicz KM, Heyderman RS, Garner P.",Cochrane,,"Respiratory Tract Infections,Community-Acquired Infections,Deafness,Intracranial Pressure,Meningitis, Bacterial,",ARI,acute bacterial meningitis,community-acquired infection,deafness,intracranial pressure,bacterial meningitis,,,,,
CD001831,Cochrane Systematic Review: Over-the-counter (OTC) medications for acute cough in children and adults in ambulatory settings,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD001831,Pending,Systematic_review,level 4,individual page on a site,"Smith SM, Schroeder K, Fahey T.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Cough,",ARI,acute cough,acute disease,cough,,,,,,,
CD006088,Cochrane Systematic Review: Over-the-counter (OTC) medications to reduce cough as an adjunct to antibiotics for acute pneumonia in children and adults,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006088,Pending,Systematic_review,level 4,individual page on a site,"Chang CC, Cheng AC, Chang AB.",Cochrane,,"Respiratory Tract Infections,Cough,Acute Disease,Pneumonia,",ARI,acute pneumonia,cough,acute disease,pneumonia,,,,,,
CD005975,Cochrane Systematic Review: Oxygen therapy for lower respiratory tract infections in children between 3 months and 15 years of age,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005975,Pending,Systematic_review,level 4,individual page on a site,"Rojas MX, Granados Rugeles C, Charry-Anzola LP.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bronchiolitis,Pneumonia, Viral,",ARI,lower respiratory tract infection,acute disease,bronchiolitis,viral pneumonia,respiratory tract infection,,,,,
CD006323,Cochrane Systematic Review: Pelargonium sidoides extract for treating acute respiratory tract infections,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD006323,Pending,Systematic_review,level 4,individual page on a site,"Timmer A, G_nther J, Motschall E, R_cker G, Antes G, Kern WV.",Cochrane,,"Respiratory Tract Infections,Acute Disease,Bronchitis,",ARI,acute respiratory tract infection,acute disease,bronchitis,respiratory tract infection,,,,,,
CD005437,Cochrane Systematic Review: Pre-admission antibiotics for suspected cases of meningococcal disease,http://www.ncbi.nlm.nih.gov/pubmed/?term=CD005437,Pending,Systematic_review,level 4,individual page on a site,"Sudarsanam TD, Rupali P, Tharyan P, Abraham OC, Thomas K.",Cochrane,,"Respiratory Tract Infections,Meningococcal Infections,",ARI,meningococcal disease,meningococcal infection,,,,,,,,
